epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2526.2,1.05907,0.88384,0.00546,0.66967,0.67646,0.69667,0.50001,1.29246,1.35165,0.01058,0.000724062,0.000724062,0.000724062
87,2550.65,1.13736,0.95056,0.00584,0.68981,0.64431,0.67626,0.47762,1.28083,1.42067,0.00983,0.000717875,0.000717875,0.000717875
88,2579.86,1.11179,0.93091,0.00562,0.66813,0.62611,0.68127,0.47704,1.34281,1.42695,0.00997,0.000711687,0.000711687,0.000711687
89,2611.62,1.11834,0.96948,0.00607,0.61661,0.68916,0.68075,0.49115,1.25139,1.34036,0.00996,0.0007055,0.0007055,0.0007055
90,2642.6,1.0431,0.89144,0.00518,0.72429,0.63629,0.69732,0.49951,1.3138,1.35887,0.01051,0.000699312,0.000699312,0.000699312
91,2673.19,1.04126,0.90971,0.00474,0.6494,0.66038,0.70073,0.49366,1.26086,1.30776,0.01038,0.000693125,0.000693125,0.000693125
92,2704.1,1.0419,0.93772,0.00546,0.68244,0.63168,0.68564,0.49799,1.29139,1.32421,0.01003,0.000686937,0.000686937,0.000686937
93,2734.89,1.03557,0.89198,0.0054,0.72432,0.67604,0.72801,0.51222,1.34106,1.29465,0.0107,0.00068075,0.00068075,0.00068075
94,2765.73,1.05344,0.94874,0.00516,0.80492,0.68191,0.71152,0.52992,1.22699,1.37128,0.01008,0.000674562,0.000674562,0.000674562
95,2796.56,1.04515,0.91874,0.00507,0.82358,0.60473,0.71108,0.4927,1.31548,1.41591,0.0102,0.000668375,0.000668375,0.000668375
96,2827.7,1.04398,0.8941,0.00583,0.82317,0.60576,0.71445,0.50909,1.20076,1.3589,0.00892,0.000662188,0.000662188,0.000662188
97,2858.67,1.08287,0.84655,0.005,0.79274,0.62796,0.70148,0.4981,1.21887,1.39124,0.00866,0.000656,0.000656,0.000656
98,2889.53,1.04397,0.88395,0.00557,0.65756,0.68743,0.69522,0.50126,1.19414,1.41502,0.00913,0.000649813,0.000649813,0.000649813
99,2921.42,1.02446,0.92163,0.00482,0.70357,0.66048,0.68827,0.49997,1.31312,1.25437,0.01014,0.000643625,0.000643625,0.000643625
100,2952.5,1.03844,0.91352,0.005,0.73415,0.64162,0.70152,0.50712,1.29595,1.27944,0.00985,0.000637437,0.000637437,0.000637437
101,2983.3,1.07609,0.86717,0.00538,0.77217,0.66686,0.71258,0.51027,1.26991,1.37924,0.00957,0.00063125,0.00063125,0.00063125
